Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dResistance Torque (s/(N*m)),dTime/dAngle (s/deg)
48.0,6.0,48,0.0,0.5713999999999534,-0.006003869994843092,-0.04200374875588202,-0.00017971124588456178,0.004071428571428123
48.0,6.0,48,30.0,0.5765322274913814,-0.011906431799357103,0.0002604425324524244,-3.5194654670241596e-06,0.004071529891748471
48.0,6.0,48,20.0,0.5765415975927501,-0.011801788737765436,0.00020483579135088803,3.547144547533243e-07,0.004070756223370735
48.0,6.0,48,10.0,0.5765537247513497,-0.011799366168209018,0.0010665312732314562,-9.246589789402293e-06,0.0040717725722045585
48.0,3.0,48,0.0,0.5770226856658556,-0.01264935605079486,0.0189656286689636,-0.0003449428520596598,0.004071428571428123
48.0,3.0,48,20.0,0.5782140959713424,-0.011718995323342063,-0.0023368496388861035,-8.949018250881124e-06,0.004071177240175369
48.0,3.0,48,10.0,0.578260314316494,-0.0118295948598246,-0.002383892396098005,-2.1877600397957053e-06,0.004070726030659745
48.0,3.0,48,30.0,0.5782746455118282,-0.011621742522223307,-0.0007369250372017226,-8.494163530325949e-06,0.004143439436367754
24.0,6.0,48,0.0,1.1347787835496053,-0.06614322863686406,0.05127864373838757,-0.000354682283543184,0.008071428571427681
24.0,3.0,48,0.0,1.138799999999891,-0.023674406656351565,-0.1706741641784193,-0.0007163332149673352,0.008071428571427681
24.0,3.0,48,30.0,1.1492045513615372,-0.04795899224819221,0.0005519783630207147,-8.170463631588614e-06,0.008143912821586392
24.0,3.0,48,20.0,1.149320923124992,-0.047963861074905766,0.0005403217775090674,-1.0686089691458456e-05,0.008143623960763353
24.0,3.0,48,10.0,1.1495428924733564,-0.04776320131380426,0.000445022715707862,-1.3757076529063994e-05,0.008213854565203689
24.0,6.0,48,30.0,1.1551268782139816,-0.048671489603977866,0.0030300121664420905,-3.6545007723691e-06,0.008285834020523375
24.0,6.0,48,20.0,1.1553335424439228,-0.04867615326426822,0.0030310642638771887,1.4582109797434128e-07,0.00821392484034392
24.0,6.0,48,10.0,1.155340506730793,-0.04909010466696978,0.0013795844158318953,-4.891430660514118e-07,0.008214129264213974
