Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
95.0,70.0,2.5,10.0,0.06885635892854543,0.0,-0.0010480351079116981,-0.001992535481314117,0.00360794835292208,46.6085462061394,0.00026633454974940275
95.0,70.0,3.0,10.0,0.06938076531464417,0.0,-0.00089774882513792,0.003365394048957434,0.002304787159752991,41.45600221954793,0.00023689144125458938
95.0,70.0,2.0,10.0,0.07539313054183891,0.0,-0.001967422651097226,-0.03479746738392943,0.010366359169648662,49.675443692841036,0.00028385967824488026
95.0,60.0,3.0,10.0,0.08013936703286358,0.0,-0.0014915788949464738,-0.0005231941912220891,0.003925512392919592,54.954503255332654,0.00031402573288740203
95.0,70.0,5.0,10.0,0.08109930333763081,0.0,-0.0006055227046378868,0.006853088921933009,0.0011727500994487133,57.49005435086353,0.00032851459629070824
24.0,70.0,5.0,10.0,0.08305759056460844,-0.0006842077779629918,-0.0005338960097007421,0.009326517675155716,0.000357971509819463,40.80508623818552,0.00035865529855755996
95.0,60.0,2.5,10.0,0.08382673402240144,0.0,-0.0021474793734761167,-0.018804615835121274,0.008209008120926148,58.45657881616613,0.00033403759323531436
95.0,70.0,5.0,15.0,0.08676192738037601,0.0,-0.0008857198495096164,0.004073351168177725,0.0013879559228428817,60.06066966601254,0.00034320382666287925
24.0,70.0,5.0,15.0,0.08808412469936214,-0.0005864882381945678,-0.0008352219578724014,0.006608356910372398,0.0011490371648609685,43.36238086610592,0.00039502714520055015
95.0,60.0,5.0,10.0,0.08927677335458908,0.0,-0.0009628504594989123,0.006153241685094013,0.0013504489271091297,55.33684298840348,0.00031621053136218666
24.0,60.0,5.0,10.0,0.08990952163941733,-0.00040583388136684537,-0.0008859470644936747,0.007777603323032428,0.0012006433567701702,49.67071156460837,0.00036355506812493077
95.0,70.0,3.0,15.0,0.0923111673652336,0.0,-0.002511749198344059,-0.028329858712950372,0.008694260874330395,63.86842760509706,0.0003649624434577025
95.0,70.0,5.0,20.0,0.09731864447843173,0.0,-0.0015152046616396676,-0.0013270200596898762,0.002817706880848571,62.144728274864974,0.00035511273299920364
24.0,70.0,5.0,20.0,0.09770481161839106,-0.0003101855891610046,-0.001347710739933529,-1.8775366011913874e-06,0.0028003261864556483,58.39284156979821,0.0003634778518783099
95.0,60.0,5.0,15.0,0.09862990654205758,0.0,-0.0014944314962175738,0.002940402895506705,0.0024990317690814596,57.07749221185893,0.00032615709835336564
24.0,60.0,5.0,15.0,0.09867104824676687,-0.00025437145203902983,-0.001432446719372843,0.0035804544616703515,0.0022979919426269666,55.67284857764878,0.00037410994728221536
95.0,70.0,10.0,10.0,0.11056275824152732,0.0,-0.0009071858391553253,0.005799313417866533,0.0002744771472533436,75.93596033075768,0.0004339197733183923
40.0,70.0,10.0,10.0,0.11074330567335057,-5.678656390591466e-05,-0.000786055697038738,0.005545323326523743,0.00036049514075028877,62.64281125310365,0.0004218464046463437
95.0,70.0,10.0,15.0,0.11217569422405863,0.0,-0.0008648957934444751,0.005342216708743575,0.0007801688706793319,71.22912369081877,0.000407023563947977
40.0,70.0,10.0,15.0,0.1123896264172648,-0.00014331964728664381,-0.0008541068134663986,0.005277091720147231,0.00042340916279470786,64.90952726005433,0.0004226113171817732
95.0,70.0,10.0,20.0,0.11467349507854102,0.0,-0.0009315501714837649,0.004210433550414228,0.0005786153193483232,76.65340580118462,0.000438019461720941
40.0,70.0,10.0,20.0,0.11472551796209744,-0.00012784557604055002,-0.0009156905813679861,0.0045341746856489284,0.00046203550476610344,66.5861616155278,0.0004284030384725275
95.0,60.0,2.0,10.0,0.11480987535376874,0.0,-0.008187547295970845,-0.18737562710379116,0.043305019969895886,72.81530378756145,0.0004160874502146369
95.0,60.0,5.0,20.0,0.11854994183921246,0.0,-0.0029783241727756107,-0.012357826410229755,0.006306110574234337,73.07072352024257,0.0004175469915441442
40.0,60.0,10.0,10.0,0.11984936028598371,1.6010080887262496e-05,-0.00106753706396417,0.005590781839535722,3.75069016336077e-05,78.06619988365031,0.0004019234757189825
95.0,60.0,10.0,10.0,0.11989798204113464,0.0,-0.0011137147618412585,0.005205461031093234,0.000739859563009676,74.29938688812992,0.0004245679250748448
95.0,40.0,5.0,10.0,0.12067812639074513,0.0,-0.0027011581148147362,0.0018735135378696033,0.004936651299400421,73.38534712946277,0.00041934484074004506
40.0,60.0,10.0,15.0,0.12233902266271664,3.0325132881325184e-05,-0.001115026271871674,0.005253966659419934,0.00044296714010183535,74.62823349377138,0.0004223848171315696
95.0,60.0,10.0,15.0,0.12238435122214185,0.0,-0.0011498907791155158,0.005733668768901218,0.00038870238067488055,78.95764594977472,0.0004511865482843972
40.0,70.0,10.0,30.0,0.12272352733981497,4.567500231887622e-06,-0.0012796320987081395,0.0028647431359020425,0.0011139162057252165,76.70204971142648,0.00044273982228165796
95.0,70.0,10.0,30.0,0.12272968841464595,0.0,-0.0013129173725741944,0.002476104687118147,0.0010051323623564794,77.22086099919231,0.00044126206285227475
95.0,60.0,10.0,20.0,0.12616800201351003,0.0,-0.001416161623192062,0.004783615660153423,0.0005595700768393913,73.78245731786552,0.0004216140418161762
24.0,70.0,10.0,10.0,0.12910194790485335,-0.0028290053929622603,-0.00047144525670014413,0.009410476459918299,8.955472503915929e-05,39.377421967901746,0.0006785714998626302
24.0,70.0,10.0,15.0,0.1307769307612101,-0.002899005896349338,-0.0005001157626870398,0.009541745607127977,0.0003055261433216698,43.22115382175174,0.000714285771105819
24.0,70.0,10.0,20.0,0.1329766265528584,-0.0029608350763895195,-0.0006076677399224509,0.009140463683699751,0.00042978556160484793,47.34577522628839,0.0006785714736985495
95.0,70.0,2.5,15.0,0.13429338816669145,0.0,-0.010723932872034462,-0.24802716745857767,0.04552382042840013,84.91313454119484,0.000485217911663921
24.0,60.0,10.0,10.0,0.13455257258359954,-0.00246084785060693,-0.0005948397271979036,0.009525156436194226,0.00047418280337413465,50.31567514761705,0.0007142859587479134
24.0,60.0,10.0,15.0,0.13681115755907283,-0.002551270374441239,-0.0006993398882193524,0.009181096739246108,0.0005459637160480184,47.26391164306016,0.0007142859168420993
24.0,70.0,10.0,30.0,0.13920922041654976,-0.002856771078471367,-0.0007676446544810366,0.0077703391805061806,0.0007432300687208737,50.011517222064626,0.0007142857617715198
95.0,60.0,10.0,30.0,0.13933431241655603,0.0,-0.0021275255601590124,0.0015854334734996534,0.0018642128400875777,89.69320204720367,0.00051253258312666
