Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
95.0,70.0,2.5,10.0,0.07693517360427728,0.0,-0.0012703362300918847,-0.000769185336860212,0.004545030622242624,37.28683696492471,0.0002663345497494077
95.0,70.0,3.0,10.0,0.07760563615500375,0.0,-0.0009532585132746315,0.0042885502040621495,0.002693386282910451,39.797762130786005,0.0002842697295055152
95.0,70.0,2.0,10.0,0.08424955250307917,0.0,-0.0022371317047324797,-0.038560230027077924,0.011684241746589275,39.74035495428324,0.0002838596782448753
95.0,60.0,3.0,10.0,0.08968574931264076,0.0,-0.001537459331281121,-0.0014408029179055482,0.004831223621427905,43.96360260422935,0.00031402573288740203
95.0,70.0,5.0,10.0,0.09060432565697471,0.0,-0.0007928252389407391,0.007296934799060212,0.000950838990947736,45.992043480703316,0.0003285145962907033
24.0,70.0,5.0,10.0,0.0912811779989297,-0.00035522032941730003,-0.0007180976523501231,0.007960857517915337,0.0012100687594361614,41.569196673314764,0.00037074271795346184
95.0,60.0,2.5,10.0,0.09376435242115212,0.0,-0.0023713504683534176,-0.0195011093795755,0.009552314488513874,46.765263052944704,0.00033403759323531436
95.0,70.0,5.0,15.0,0.09705804218026327,0.0,-0.0011340681012925377,0.003342047153452876,0.0016317462502933127,48.04853573280656,0.0003432038266628842
24.0,70.0,5.0,15.0,0.09732010883029817,-0.00035330277209002364,-0.0009853434809327772,0.0055436873757622185,0.0016568160603470938,41.99608664392714,0.000375610372529467
95.0,60.0,5.0,10.0,0.09975388229372263,0.0,-0.0010397132586531985,0.008182129295088852,0.0018116582249309149,44.26947439071585,0.00031621053136218666
24.0,60.0,5.0,10.0,0.09978333601046076,-0.00022451120314003273,-0.0010104721264373936,0.007439601217357206,0.0014434494515287721,49.936227767981286,0.0003682752123973608
95.0,70.0,3.0,15.0,0.10309783513853951,0.0,-0.0027688365491818074,-0.030543860743104577,0.009517221026000278,51.094742084068635,0.0003649624434577025
24.0,70.0,5.0,20.0,0.10878307060021254,9.027320329550495e-05,-0.0016726538530320776,-0.0020441831626645535,0.0034221461612173737,59.2724833331705,0.0003735719983181207
95.0,70.0,5.0,20.0,0.1088775639375561,0.0,-0.0017193571827753768,-0.0016994247051863032,0.003222729454746831,55.9302554473659,0.0003995018246241066
95.0,60.0,5.0,15.0,0.11024109924343721,0.0,-0.0016445776525591863,0.0024477840232658976,0.003099654834575888,58.70827770362782,0.00041934484074004013
24.0,60.0,5.0,15.0,0.11024109924343721,4.1364817118458297e-07,-0.0016445776525591863,0.0024477840232658976,0.003099654834575888,58.70827770362782,0.00041934484074004013
40.0,70.0,10.0,10.0,0.12350484042007154,5.8633333534906934e-05,-0.0009683014594236249,0.006280909236981921,0.00013843113118243433,57.3956747640672,0.00045846787538699114
95.0,70.0,10.0,10.0,0.12358035144107961,0.0,-0.0008826066877172918,0.005971367477927703,0.00010243574486805407,60.6960098115887,0.0004335429272258368
40.0,70.0,10.0,15.0,0.1253632576959717,4.696967529922713e-05,-0.0009578756185054025,0.005538412438810883,0.0006166839517916338,65.4965239830059,0.0004620653486431308
95.0,70.0,10.0,15.0,0.1253632576959717,0.0,-0.0009459355331894121,0.0055874594906808045,0.0006166839517916338,65.12377023170853,0.0004651697873690493
95.0,70.0,10.0,20.0,0.12816449449954467,0.0,-0.0011055577831996627,0.0045254209470875495,0.000803504331752733,61.32272464094979,0.0004380194617208716
95.0,60.0,2.0,10.0,0.12836676100439806,0.0,-0.009051681922568415,-0.2106643592815885,0.04796301930899444,63.54790148730693,0.00045391358205227163
95.0,60.0,5.0,20.0,0.13246260759746256,0.0,-0.0033687124901084684,-0.013540033807305785,0.00689276527145892,64.30223669779411,0.0004593016906984996
95.0,60.0,10.0,10.0,0.13399363715361798,0.0,-0.0010782700557464275,0.006265973105291228,-0.0003232126507886346,67.93086801195058,0.00048522048579976594
